대지위치,건물명,동_세부용도,연면적,호수,위도_user,경도_user
서울특별시 강남구 삼성동 143-23,어반 포레스트 삼성,"제1,2종근린생활시설 및 오피스텔",1998.75,36,37.5068647,127.0536588
서울특별시 강남구 삼성동 143-48,대종빌딩,업무시설,14799.55,98,37.5066225,127.0544959
서울특별시 강남구 삼성동 144-1,삼성동 현대위버포레 오피스텔,업무시설(오피스텔),6766.57,127,37.5078668,127.054886
서울특별시 강남구 삼성동 144-14,채널리저브,"공동주택(아파트),업무시설(오피스텔),운동시설,근린생활시설",22319.26,97,37.5080135,127.0553957
서울특별시 강남구 삼성동 146-0,삼성동포스코 더샵,공동주택(아파트),21715.33,18,37.5130545,127.05463
서울특별시 강남구 삼성동 147-2,미켈란147,"아파트, 업무시설, 근린생활시설",12650.52,38,37.5132359,127.0559719
서울특별시 강남구 삼성동 157-14,현대썬앤빌 삼성역,업무시설(오피스텔),6829.91,183,37.50859519999999,127.0572257
서울특별시 강남구 삼성동 158-10,마젤란21아스테리움,"업무시설(오피스텔), 근린생활시설",19062.89,115,37.5088086,127.0583771
서울특별시 강남구 삼성동 158-20,PARK TEN 삼성,"업무시설(오피스텔),근린생활시설",7722.8811,104,37.5080344,127.0584692
서울특별시 강남구 삼성동 158-4,삼성역 두산위브센티움,업무시설(오피스텔)/근생,14066.85,257,37.508477,127.0578869
서울특별시 강남구 삼성동 44-16,아르헤 타워,"오피스텔,도시형생활주택(원룸형),근린생활시설",4027.93,42,37.5119311,127.0486118
서울특별시 강남구 삼성동 45-9,봉은사로 461 주상복합 (주식회사 프레스티지),"업무시설(오피스텔),연립주택(도시형생활주택-원룸형)",2595.59,29,37.5123927,127.0500801
서울특별시 강남구 삼성동 51-4,현대썬앤빌강남,오피스텔및근린생활시설,4020.54,76,37.513063,127.0524828
서울특별시 강남구 삼성동 52-9,삼성 리치빌,아파트 및 업무시설(오피스텔),8165.78,11,37.5185293,127.0511296
서울특별시 강남구 삼성동 58-2,청담역 푸르지오시티,"업무시설(오피스텔),근린생활시설",12276.41,194,37.5197277,127.0566302
서울특별시 강남구 삼성동 65-2,한국건설기술인회관(별관),업무시설,5603.85,30,37.5171011,127.0515205
서울특별시 강남구 삼성동 75-8,우림보보카운티 오피스텔,업무시설 (오피스텔),9170.66,167,37.5134788,127.0542728
서울특별시 강남구 삼성동 78-1,위레벤646,"공동주택(아파트-도시형생활주택),업무시설(오피스텔),근린생활시설",12328.9381,45,37.5196778,127.0578831
서울특별시 강남구 삼성동 90-0,삼성 브르넨,"아파트(22세대),오피스텔(6실),근린생활시설(3호)",2992.29,9,37.5167625,127.0594209
서울특별시 강남구 세곡동 582-0,강남레체,"업무시설,근린생활시설",4996.45,70,37.4660493,127.1013512
서울특별시 강남구 세곡동 583-0,천석빌딩,"업무시설,제1종근린생활시설",4607.6,53,37.4662663,127.1013625
서울특별시 강남구 세곡동 586-0,강남투엠캐슬,업무시설 근린생활시설,9939.61,94,37.4667925,127.1013351
서울특별시 강남구 세곡동 587-0,강남 지웰파인즈,"업무시설,근린생활시설,교육연구시설",13120.48,158,37.4667942,127.1009354
